# step Epot T p V 
0 -4685.3497 0.0 6516.2579 23823.124 
5000 -5156.2919 311.6018 133.7884 23107.7559 
10000 -5148.1126 308.1711 -88.6508 23287.8021 
15000 -5208.7537 294.9174 -425.463 22858.9475 
20000 -5137.8566 303.5551 -690.0393 23039.8846 
25000 -5194.9462 306.4774 -22.0513 22866.9664 
30000 -5189.9952 302.6214 -62.2251 22811.0306 
35000 -5249.9819 281.7471 -788.9058 22725.2447 
40000 -5198.0589 298.1492 145.2413 22425.8681 
45000 -5210.364 294.5285 -147.9415 22652.3315 
50000 -5252.3463 289.0097 23.9946 22577.4846 
55000 -5222.5572 300.8916 -67.7188 22619.386 
60000 -5223.0755 296.1251 -407.954 22430.4664 
65000 -5259.0843 306.9827 -125.6067 22613.0539 
70000 -5164.7978 316.394 -673.3199 22914.8665 
75000 -5258.068 288.7229 220.2665 22400.9246 
80000 -5227.2796 291.7754 0.8143 22455.6917 
85000 -5243.1173 293.7982 -482.2786 22564.63 
90000 -5233.302 288.633 -75.13 22655.3447 
95000 -5242.8368 304.9434 -134.7508 22725.8272 
100000 -5259.7139 291.8973 -483.9038 22608.1748 
105000 -5226.7892 296.8983 -675.461 22467.6042 
110000 -5183.9802 298.5131 -486.8383 22727.9333 
115000 -5209.133 302.5133 -134.6437 22669.393 
120000 -5211.6441 298.6002 -393.4363 22890.2181 
125000 -5189.6192 301.8026 -219.9344 22564.0808 
130000 -5197.6685 314.4512 509.0839 22666.8565 
135000 -5218.4364 285.1578 -132.9736 22708.1325 
140000 -5212.3427 311.9638 359.0704 22612.6829 
145000 -5186.684 288.4481 -767.8241 23081.3917 
150000 -5220.2617 299.8413 -197.8096 22940.0798 
155000 -5240.1365 297.4612 131.3992 22592.4248 
160000 -5167.5839 291.0739 -133.8951 22621.7709 
165000 -5181.2477 312.1511 273.3819 22733.4779 
170000 -5170.9497 292.2127 590.3658 22543.1637 
175000 -5269.0338 298.7826 -245.0987 22521.4416 
180000 -5208.0317 308.3055 111.6768 22565.571 
185000 -5198.2366 307.7618 563.8873 22834.6333 
190000 -5148.6616 291.1926 -12.001 22790.5086 
195000 -5231.8147 295.5942 108.5605 22361.1699 
200000 -5204.4543 302.4567 -756.4739 23123.8769 
205000 -5253.039 296.062 -398.244 22591.1025 
210000 -5130.299 299.7001 -244.2895 22703.7696 
215000 -5187.3616 310.8529 715.1884 22575.9844 
220000 -5190.8655 291.5191 -106.3866 22748.4757 
225000 -5204.0304 307.1949 -488.7493 22468.5262 
230000 -5180.2562 287.4771 251.2266 22290.0842 
235000 -5187.9668 303.9764 -353.7257 22664.4779 
240000 -5186.644 310.0033 -933.3257 22730.0426 
245000 -5150.7174 296.7474 128.6393 22628.287 
250000 -5209.7623 286.5507 221.908 22510.3729 
255000 -5145.0104 311.3402 434.2675 22399.1715 
260000 -5203.4512 287.1868 -709.7783 22582.6579 
265000 -5191.6766 310.2002 -753.734 22682.0634 
270000 -5225.07 313.0014 -517.3887 23102.2461 
275000 -5202.3632 305.693 -863.2201 22918.6555 
280000 -5238.0472 294.1674 -413.4452 22694.9302 
285000 -5153.3758 293.441 -621.8445 22994.3583 
290000 -5226.1492 291.8732 536.2556 22678.4119 
295000 -5221.1486 301.5996 -64.11 22713.5037 
300000 -5200.0728 303.9178 -107.3662 22602.306 
305000 -5206.8495 290.7404 -753.8764 22850.7568 
310000 -5173.4132 294.5773 99.1675 22473.5777 
315000 -5173.9791 306.1686 -474.2834 22898.7516 
320000 -5240.6093 308.9416 68.4177 22408.9796 
325000 -5237.0092 296.1128 -717.0187 22808.2778 
330000 -5227.26 303.7823 -222.4229 22392.9047 
335000 -5204.6829 301.6637 290.3219 22445.2322 
340000 -5248.105 286.4498 -729.3477 22934.4652 
345000 -5220.1779 287.2227 217.7011 22709.5713 
350000 -5194.7041 282.5525 -644.6547 22982.6897 
355000 -5227.3157 297.2309 -490.5652 22563.4111 
360000 -5238.3249 293.2816 -317.7753 22531.5911 
365000 -5237.9036 301.7692 -168.5104 22617.8755 
370000 -5206.0659 303.292 -432.8696 22859.6609 
375000 -5204.9868 300.6514 330.7216 22649.4292 
380000 -5238.9486 291.5374 -345.2828 22466.2364 
385000 -5218.6343 291.4469 -602.4086 22887.0755 
390000 -5205.5086 308.3737 -175.496 22595.6983 
395000 -5186.0174 305.8062 -165.9983 22531.2032 
400000 -5268.5633 315.8234 -701.5602 22748.9124 
405000 -5196.7135 305.3524 -749.4443 22494.5711 
410000 -5177.0185 293.5065 -895.0467 23161.5831 
415000 -5216.7248 291.735 -213.2823 22512.9823 
420000 -5222.3764 306.2746 39.7186 22301.1956 
425000 -5232.9871 304.0855 -116.5327 22527.5134 
430000 -5198.4241 321.84 -866.2048 22777.7032 
435000 -5164.0867 301.2982 -166.3814 22910.3485 
440000 -5221.5837 305.6192 -210.9411 22840.2423 
445000 -5130.8093 289.7544 -1353.7896 22818.8741 
450000 -5145.3407 302.6148 815.4578 22674.5831 
455000 -5196.3009 298.414 -577.0474 22983.6558 
460000 -5209.7223 306.7398 100.0452 22635.4995 
465000 -5203.1757 300.4743 -612.2307 22688.0668 
470000 -5165.9809 283.0991 -402.1031 22757.0332 
475000 -5152.0044 298.7971 -1000.0532 22954.5538 
480000 -5211.9836 311.8455 -113.786 22513.4963 
485000 -5137.3387 297.0753 -654.0531 23022.1892 
490000 -5240.2629 300.6524 -268.5356 22824.155 
495000 -5173.9342 292.1705 576.0273 22640.5006 
500000 -5230.483 293.0391 -565.0895 22741.3648 
