ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6263       775.2765         0.0000         0.0000         0.0000          -4685.3497         0.0000     -4685.3497     -4684.5917         0.0000           6516.2579      6528.3354     23823.1240      6516.2579      6528.3354
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5630.0390       473.7470         0.0000         0.0000       980.8324          -4175.4596       311.6018     -5156.2919     -4173.1818       283.1694            133.7884       144.4403     23107.7559      -119.9283      -119.9071
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5622.5999       474.4873         0.0000         0.0000       970.0334          -4178.0792       308.1711     -5148.1126     -4176.0504       303.7614            -88.6508       -73.4102     23287.8021      -120.8570      -120.6764
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5612.1801       403.4264         0.0000         0.0000       928.3145          -4280.4391       294.9174     -5208.7537     -4278.3200       298.7361           -425.4630      -415.0274     22858.9475      -213.7819      -213.7279
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5492.7202       354.8636         0.0000         0.0000       955.5035          -4182.3532       303.5551     -5137.8566     -4180.7502       300.2093           -690.0393      -669.2007     23039.8846      -237.0333      -237.0480
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5605.5178       410.5716         0.0000         0.0000       964.7020          -4230.2442       306.4774     -5194.9462     -4228.4168       302.3707            -22.0513       -14.0893     22866.9664      -235.8597      -235.8576
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5609.9780       419.9827         0.0000         0.0000       952.5646          -4237.4306       302.6214     -5189.9952     -4236.9424       297.7856            -62.2251       -39.9506     22811.0306      -199.6443      -199.6805
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5625.6838       375.7019         0.0000         0.0000       886.8584          -4363.1235       281.7471     -5249.9819     -4360.9309       303.2996           -788.9058      -762.0146     22725.2447      -230.1675      -230.4169
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5605.2171       407.1582         0.0000         0.0000       938.4874          -4259.5715       298.1492     -5198.0589     -4256.3133       295.7461            145.2413       180.5620     22425.8681      -247.6547      -247.6575
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5610.5701       400.2061         0.0000         0.0000       927.0905          -4283.2734       294.5285     -5210.3640     -4279.7760       297.3424           -147.9415      -135.7365     22652.3315      -209.8149      -209.9260
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5696.3596       444.0132         0.0000         0.0000       909.7189          -4342.6275       289.0097     -5252.3463     -4340.8071       297.8037             23.9946        46.6109     22577.4846      -181.6792      -181.6377
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5629.1930       406.6358         0.0000         0.0000       947.1196          -4275.4376       300.8916     -5222.5572     -4271.4797       298.4663            -67.7188       -63.4144     22619.3860      -184.8278      -184.6662
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5575.1901       352.1147         0.0000         0.0000       932.1160          -4290.9595       296.1251     -5223.0755     -4290.5044       295.6502           -407.9540      -373.0863     22430.4664      -245.0580      -245.0301
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5677.1517       418.0675         0.0000         0.0000       966.2926          -4292.7916       306.9827     -5259.0843     -4289.8071       296.9678           -125.6067       -96.3826     22613.0539      -222.3288      -222.5025
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5507.7755       342.9777         0.0000         0.0000       995.9169          -4168.8810       316.3940     -5164.7978     -4165.5920       301.4833           -673.3199      -653.1598     22914.8665      -242.6354      -242.6717
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5686.3969       428.3289         0.0000         0.0000       908.8162          -4349.2518       288.7229     -5258.0680     -4347.1050       298.4849            220.2665       253.5670     22400.9246      -248.4592      -248.4789
