# frame +z -z 
10 0 0
20 0 0
30 0 4
40 0 9
50 0 21
60 0 31
70 0 40
80 0 50
90 0 61
100 0 71
110 0 83
120 0 96
130 0 107
140 0 117
150 0 130
160 0 140
170 0 149
180 0 163
190 0 174
200 0 181
210 0 195
220 0 202
230 0 209
240 0 221
250 0 231
260 0 239
270 0 249
280 0 260
290 0 275
300 0 286
310 0 296
320 0 306
330 0 313
340 0 328
350 0 336
360 0 346
370 0 354
380 0 362
390 0 373
400 0 379
410 0 388
420 0 394
430 0 403
440 0 412
450 0 420
460 0 428
470 0 440
480 0 450
490 0 457
500 0 467
510 0 479
520 0 488
530 0 499
540 0 506
550 0 515
560 0 528
570 0 540
580 0 550
590 0 560
600 0 566
